Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1998,0.58,0.88,0.63,0.64,0.68,0.77,0.66,0.65,0.42,0.41,0.43,0.55,0.61,0.61,0.68,0.65,0.69,0.42
1999,0.48,0.64,0.32,0.32,0.26,0.36,0.38,0.31,0.38,0.34,0.37,0.4,0.38,0.39,0.55,0.3,0.35,0.36
2000,0.25,0.56,0.55,0.57,0.36,0.4,0.39,0.42,0.38,0.26,0.3,0.28,0.39,0.4,0.4,0.49,0.4,0.32
2001,0.45,0.44,0.55,0.5,0.58,0.52,0.59,0.49,0.52,0.5,0.72,0.55,0.53,0.51,0.39,0.55,0.53,0.58
2002,0.77,0.78,0.88,0.58,0.64,0.53,0.62,0.53,0.63,0.54,0.59,0.44,0.63,0.64,0.7,0.7,0.56,0.58
2003,0.75,0.58,0.6,0.55,0.61,0.48,0.58,0.65,0.62,0.72,0.53,0.75,0.62,0.59,0.59,0.58,0.57,0.63
2004,0.58,0.73,0.63,0.61,0.37,0.44,0.26,0.46,0.49,0.61,0.72,0.51,0.53,0.55,0.68,0.54,0.39,0.61
2005,0.75,0.6,0.74,0.67,0.63,0.65,0.61,0.6,0.71,0.75,0.73,0.68,0.68,0.66,0.62,0.68,0.62,0.73
2006,0.56,0.73,0.63,0.47,0.48,0.66,0.54,0.7,0.65,0.7,0.74,0.79,0.64,0.63,0.66,0.52,0.63,0.7
2007,1.01,0.7,0.73,0.76,0.69,0.61,0.59,0.6,0.6,0.58,0.59,0.5,0.66,0.69,0.83,0.73,0.6,0.59
2008,0.3,0.38,0.74,0.53,0.49,0.49,0.6,0.46,0.61,0.67,0.68,0.54,0.54,0.54,0.39,0.59,0.51,0.65
2009,0.65,0.52,0.53,0.61,0.65,0.64,0.73,0.69,0.71,0.66,0.79,0.67,0.66,0.64,0.57,0.6,0.69,0.72
2010,0.75,0.83,0.92,0.85,0.75,0.68,0.63,0.67,0.64,0.71,0.81,0.45,0.72,0.74,0.75,0.84,0.66,0.72
2011,0.53,0.48,0.65,0.65,0.53,0.62,0.7,0.75,0.56,0.65,0.58,0.6,0.61,0.6,0.49,0.61,0.69,0.6
2012,0.47,0.49,0.58,0.73,0.78,0.64,0.58,0.66,0.72,0.8,0.78,0.53,0.65,0.65,0.52,0.7,0.63,0.77
2013,0.71,0.62,0.67,0.54,0.61,0.69,0.6,0.7,0.76,0.69,0.83,0.7,0.68,0.66,0.62,0.6,0.66,0.76
2014,0.76,0.55,0.78,0.8,0.86,0.67,0.58,0.83,0.87,0.8,0.66,0.78,0.74,0.74,0.67,0.81,0.69,0.78
2015,0.87,0.9,0.96,0.76,0.8,0.81,0.73,0.79,0.85,1.09,1.06,1.17,0.9,0.87,0.85,0.84,0.78,1
2016,1.18,1.37,1.35,1.1,0.95,0.8,0.85,1.02,0.9,0.88,0.92,0.87,1.02,1.04,1.24,1.14,0.89,0.9
2017,1.03,1.14,1.16,0.94,0.91,0.71,0.82,0.87,0.77,0.9,0.88,0.93,0.92,0.92,1.01,1,0.8,0.85
2018,0.83,0.85,0.89,0.89,0.82,0.77,0.83,0.77,0.8,1.01,0.82,0.92,0.85,0.85,0.87,0.86,0.79,0.88
2019,0.94,0.95,1.17,1.01,0.85,0.9,0.94,0.95,0.92,1,0.99,1.1,0.98,0.96,0.93,1.01,0.93,0.97
2020,1.17,1.24,1.17,1.13,1.01,0.91,0.89,0.87,0.98,0.87,1.1,0.8,1.01,1.04,1.17,1.1,0.89,0.98
2021,0.81,0.64,0.88,0.75,0.78,0.84,0.92,0.82,0.92,0.99,0.94,0.86,0.85,0.84,0.75,0.81,0.86,0.95
2022,0.91,0.89,1.05,0.83,0.84,0.92,0.94,0.95,0.89,0.96,0.73,0.8,0.89,0.9,0.89,0.91,0.94,0.86
